port_id,port_name,country_or_territory,region,port_type,latitude,longitude,avg_annual_visitors,avg_port_fee_usd,local_attractions_score,avg_customer_satisfaction,excursion_variety_index,avg_disembark_rate,avg_shore_spend_per_passenger,seasonality_score
033,Puerto Plata,Dominican Republic,Eastern,Eco/Nature,13.4297,-66.1112,1492646,13.76,1,8.17,5,0.91,86.41,0.97
034,Santo Domingo,Jamaica,Western,Boutique,10.7915,-79.28,1450804,8.76,1,7.15,6,0.64,45.49,0.57
035,Montego Bay,Jamaica,Western,Boutique,15.6933,-83.0755,319536,8.94,5,8.36,9,0.56,50.02,0.67
036,Falmouth,Jamaica,Western,Major,16.8019,-77.7562,367824,15.34,6,6.12,5,0.85,158.26,0.73
037,Ocho Rios,Jamaica,Western,Eco/Nature,14.7486,-80.9695,1356002,18.25,3,6.15,1,0.81,133.19,0.51
038,Port Antonio,Jamaica,Western,Major,24.5029,-61.7576,227789,18.08,9,9.29,4,0.94,42.7,0.66
039,Labadee,Haiti,Eastern,Major,16.2432,-64.797,792452,16.26,5,7.44,5,0.87,39.72,0.63
040,Cabo Rojo,Puerto Rico,Western,Private,14.9164,-69.1649,887291,13.91,8,6.51,10,0.9,147.67,0.91
041,Santa Marta,Colombia,Southern,Private,19.4972,-63.2135,175657,4.43,1,8.09,10,0.64,37.73,0.14
042,Cartagena,Colombia,Southern,Private,12.4662,-64.9082,1333743,5.75,5,9.08,5,0.59,168.83,0.35
043,Colon,Panama,Southern,Boutique,24.0384,-80.3357,731669,18.28,3,6.86,7,0.88,148.59,0.96
044,Banana Coast,Honduras,Western,Eco/Nature,11.3046,-62.686,1169043,13.31,1,8.49,4,0.9,39.24,0.9
045,Isla Margarita,Venezuela,Southern,Eco/Nature,27.2705,-71.5164,1282310,3.16,4,6.34,1,1.0,39.85,0.51
046,Isla de Providencia,Colombia,Western,Eco/Nature,23.5143,-64.814,159751,4.73,5,6.21,5,0.71,197.66,0.66
047,Ponce,Puerto Rico,Eastern,Eco/Nature,13.4775,-62.5977,1479626,14.28,7,8.13,7,0.69,90.5,0.35
048,Basseterre,St. Kitts and Nevis,Eastern,Private,10.0966,-77.0499,861774,3.09,1,8.16,10,0.89,89.86,0.27
049,Mayaguez,Puerto Rico,Eastern,Boutique,24.2706,-82.2487,511079,5.73,3,8.55,10,0.67,167.24,0.52
050,CocoCay,Bahamas,Bahamas,Boutique,22.37,-79.3016,418452,12.33,2,8.9,6,0.97,190.77,0.42
