age,booking_lead_time,trip_length,cabin_type,group_size,loyalty_status,paid_in_full,prior_cruises,customer_income,email_engagement_score,phone_verified,has_insurance,on_mailing_list,website_visits_last_month,survey_participation,preferred_contact_method,travel_history_score,referral_source,gift_certificate_used,canceled
38,236,7,Interior,4,None,1,1,76138.06,0.33,1,0,0,4,Yes,Text,51.1,Social Media,0,0
50,185,10,Oceanview,2,None,1,1,105639.52,0.47,1,0,0,0,No,Email,71.25,Social Media,0,0
29,272,7,Oceanview,4,None,1,0,60933.28,0.44,1,0,0,2,Partial,Phone,52.99,Friend,0,0
75,236,14,Suite,4,Platinum,0,1,122195.1,0.54,0,0,1,8,No,Phone,77.6,Social Media,0,0
39,239,3,Interior,5,Gold,1,2,61708.83,0.62,1,1,1,3,No,Email,54.42,Ad,0,0
78,266,3,Interior,3,None,1,4,44780.56,0.44,0,1,1,2,No,Phone,45.71,Friend,0,0
61,359,7,Oceanview,2,Gold,0,0,42437.86,0.82,1,1,0,2,No,Text,31.09,Search Engine,1,1
42,340,5,Interior,4,Silver,0,0,87732.72,0.68,1,1,0,1,No,Email,53.36,Ad,0,0
66,65,5,Interior,2,Gold,1,1,68075.04,0.39,1,0,0,3,No,Phone,36.26,Friend,0,0
44,177,5,Oceanview,6,None,0,0,90437.19,0.49,1,1,0,2,No,Phone,58.01,Social Media,0,0
76,3,5,Interior,3,None,1,1,51919.56,0.58,1,1,0,2,Yes,Phone,48.3,Search Engine,0,1
59,142,3,Interior,4,Gold,1,1,99609.54,0.38,1,0,1,3,Partial,Email,47.81,Social Media,0,0
45,158,14,Balcony,1,None,1,0,90522.0,0.19,1,0,1,5,Yes,Text,51.28,Social Media,0,0
77,324,5,Oceanview,2,Platinum,1,1,71275.4,0.79,1,0,1,1,No,Phone,53.5,Search Engine,0,0
33,146,10,Interior,5,Gold,1,1,103745.61,0.33,1,0,1,3,Partial,Email,49.49,Search Engine,0,0
32,293,10,Interior,2,Platinum,1,5,102251.79,0.63,1,0,1,4,No,Email,82.05,Friend,0,0
79,153,14,Balcony,6,None,1,2,87762.27,0.61,1,1,0,4,Yes,Phone,38.42,Friend,0,1
79,193,3,Interior,1,None,0,2,111618.46,0.38,1,1,1,5,Partial,Email,65.36,Social Media,0,1
64,73,10,Oceanview,3,None,0,0,118314.97,0.79,0,0,0,5,Partial,Text,68.83,Friend,0,1
79,305,7,Interior,5,Platinum,1,0,61343.3,0.51,1,0,0,0,No,Text,33.39,Ad,0,0
68,344,7,Oceanview,3,None,1,0,118973.69,0.52,1,0,1,4,No,Email,50.85,Search Engine,0,1
61,140,7,Oceanview,3,Silver,1,1,58027.96,0.27,1,0,1,3,No,Phone,55.34,Social Media,0,0
72,187,10,Balcony,3,None,0,0,108146.22,0.18,1,0,1,2,No,Text,52.57,Ad,0,0
69,293,5,Balcony,2,None,1,1,113416.3,0.46,1,1,1,3,No,Phone,51.98,Ad,0,1
74,61,10,Balcony,3,None,1,0,79760.45,0.69,1,1,1,4,Yes,Email,59.38,Search Engine,0,0
20,198,7,Interior,2,Silver,1,2,83402.1,0.22,1,0,0,5,Yes,Text,18.55,Friend,0,0
54,295,10,Interior,3,Gold,1,2,76029.15,0.52,1,0,1,5,No,Phone,48.52,Ad,0,1
68,319,14,Oceanview,3,None,1,1,60267.71,0.51,1,0,1,2,No,Email,43.7,Social Media,0,0
24,302,5,Interior,1,Gold,0,3,65866.52,0.69,1,0,1,4,Partial,Phone,39.21,Ad,0,0
38,344,14,Interior,4,Silver,1,1,99898.57,0.65,1,0,1,1,No,Text,63.19,Search Engine,0,0
26,11,3,Balcony,3,Silver,1,0,110670.88,0.52,1,1,1,6,No,Email,65.48,Friend,0,1
56,62,3,Oceanview,1,Silver,1,1,84566.87,0.49,1,1,1,5,Partial,Email,67.05,Friend,0,0
35,333,3,Oceanview,4,None,0,0,54696.7,0.39,1,1,0,4,No,Phone,62.77,Social Media,0,1
21,226,5,Oceanview,3,None,1,2,50612.72,0.33,1,1,1,1,Partial,Phone,32.04,Social Media,0,0
42,153,7,Oceanview,5,Gold,1,1,81816.48,0.41,1,1,0,2,No,Email,52.18,Social Media,0,0
77,199,3,Interior,1,None,1,1,69172.17,0.33,1,1,1,3,Partial,Text,66.64,Social Media,0,0
31,52,3,Balcony,4,None,0,3,120586.4,0.48,1,1,1,5,Yes,Text,12.22,Social Media,0,0
67,260,14,Interior,3,None,1,4,63931.4,0.49,1,0,1,1,Yes,Phone,74.39,Ad,0,1
75,59,10,Balcony,3,Silver,1,2,102921.38,0.46,0,0,0,0,No,Phone,31.19,Ad,0,0
26,72,10,Balcony,4,None,0,1,66381.52,0.52,1,0,0,2,No,Phone,36.65,Search Engine,0,0
43,148,10,Balcony,3,Silver,0,0,76495.05,0.43,1,0,1,2,No,Text,61.49,Friend,0,0
70,349,10,Oceanview,3,None,1,2,90164.36,0.63,1,1,0,4,Yes,Text,79.24,Ad,1,1
19,63,3,Interior,2,Platinum,0,2,100587.48,0.53,0,0,1,1,No,Phone,35.99,Social Media,0,0
37,310,5,Oceanview,1,None,1,1,97676.8,0.43,1,0,1,1,No,Phone,38.22,Search Engine,0,0
45,243,10,Balcony,2,Silver,1,2,68203.63,0.33,1,0,1,3,No,Email,68.83,Social Media,1,0
64,330,5,Oceanview,4,Silver,1,0,88010.43,0.49,0,0,1,5,Yes,Email,52.47,Friend,0,0
77,107,7,Balcony,2,Gold,1,4,73756.41,0.67,1,0,1,2,Partial,Email,46.28,Social Media,0,0
24,226,3,Oceanview,3,None,1,2,42061.84,0.59,1,0,1,1,Yes,Email,53.15,Search Engine,0,1
61,313,5,Interior,1,Gold,1,2,91867.82,0.61,1,0,0,3,No,Phone,82.77,Search Engine,0,0
78,218,7,Interior,1,None,0,4,122881.14,0.61,1,0,0,3,No,Text,61.55,Search Engine,0,1
25,241,7,Oceanview,2,None,0,2,131325.5,0.68,1,0,0,1,No,Text,55.33,Friend,0,1
64,259,7,Oceanview,2,Silver,1,4,94521.53,0.63,1,0,1,3,No,Email,58.7,Ad,0,0
52,262,7,Balcony,5,Gold,1,1,92557.76,0.52,1,1,0,1,Partial,Text,56.23,Ad,0,0
31,5,3,Balcony,3,Silver,1,3,6420.06,0.44,0,0,1,4,Partial,Email,63.7,Search Engine,0,0
34,261,3,Balcony,4,Gold,1,1,166819.84,0.63,1,0,0,2,No,Phone,40.43,Ad,0,0
53,54,10,Balcony,1,None,1,1,127929.05,0.14,1,1,0,1,No,Email,48.98,Friend,0,0
67,47,7,Balcony,2,Platinum,1,0,107774.08,0.69,1,0,1,3,No,Text,49.7,Social Media,0,0
57,215,3,Interior,3,None,1,0,87159.93,0.6,1,0,1,3,No,Text,36.1,Friend,0,1
21,177,10,Balcony,3,Silver,1,0,18074.64,0.75,1,1,1,5,No,Text,33.53,Ad,0,0
19,9,5,Interior,7,Silver,0,2,90469.16,0.33,1,0,0,3,No,Phone,70.95,Friend,0,1
79,99,7,Interior,4,None,0,0,85953.05,0.67,1,0,1,2,No,Email,60.63,Social Media,0,0
23,20,3,Balcony,3,None,1,2,42722.27,0.6,1,1,0,2,No,Phone,76.53,Friend,0,1
71,241,10,Oceanview,3,Silver,1,2,98444.86,0.41,0,1,1,2,Partial,Phone,57.57,Ad,0,0
59,61,7,Interior,3,None,1,2,122098.42,0.48,1,0,1,1,Yes,Email,54.8,Social Media,0,0
21,178,5,Interior,3,None,1,3,95216.87,0.47,1,1,0,1,Partial,Text,46.94,Ad,0,0
71,338,10,Interior,5,None,1,2,95118.7,0.45,1,1,1,4,No,Text,65.12,Social Media,0,1
46,62,7,Suite,2,Silver,1,3,97044.82,0.3,0,0,1,6,No,Text,30.91,Search Engine,0,0
35,145,5,Interior,3,None,1,1,75316.86,0.68,1,1,1,2,No,Text,54.57,Social Media,0,0
43,216,5,Interior,3,None,1,1,107750.12,0.36,0,0,0,2,Yes,Phone,63.87,Ad,0,1
61,3,5,Oceanview,1,None,1,3,130713.85,0.34,1,0,1,3,Partial,Email,48.73,Search Engine,0,0
51,160,3,Oceanview,3,None,1,3,86237.82,0.68,0,1,1,2,Yes,Email,56.62,Search Engine,0,0
27,227,7,Suite,4,Gold,1,1,62338.86,0.29,1,0,0,4,Yes,Email,73.77,Ad,0,1
79,269,10,Interior,6,Platinum,0,0,43434.1,0.45,1,1,1,2,Yes,Phone,46.55,Ad,0,1
53,120,7,Oceanview,2,None,0,1,100028.43,0.35,1,1,1,1,Yes,Text,56.3,Friend,0,1
31,89,5,Balcony,1,Silver,1,3,103426.56,0.75,1,1,1,1,No,Text,65.35,Ad,0,0
48,329,3,Suite,3,Silver,1,0,95918.38,0.67,0,0,1,3,Yes,Email,45.22,Social Media,0,0
65,68,5,Balcony,3,Silver,0,0,77931.33,0.38,1,0,1,2,No,Text,33.82,Search Engine,0,0
32,357,7,Balcony,1,Silver,1,2,93313.85,0.35,1,1,0,4,No,Phone,60.94,Friend,0,0
25,98,10,Interior,3,None,0,3,68931.68,0.62,1,0,0,3,Partial,Text,51.74,Friend,0,0
31,267,5,Oceanview,7,None,1,2,63676.4,0.57,1,0,1,4,Yes,Text,49.6,Friend,0,1
40,105,10,Oceanview,1,None,0,0,55111.06,0.45,1,1,1,3,No,Text,52.55,Search Engine,0,1
77,323,10,Balcony,1,None,0,2,55423.36,0.43,1,0,1,2,Yes,Email,32.27,Friend,0,1
74,123,7,Interior,4,Silver,1,3,100913.25,0.46,0,0,1,3,No,Phone,46.25,Search Engine,0,0
79,29,10,Interior,8,None,1,1,76921.92,0.64,0,0,0,2,No,Email,60.72,Search Engine,0,0
57,137,7,Oceanview,2,None,1,2,64558.32,0.74,1,0,1,2,No,Phone,49.96,Friend,1,1
38,195,7,Interior,2,None,1,2,44142.59,0.77,1,0,0,4,No,Email,42.26,Search Engine,0,0
33,226,7,Interior,4,Gold,1,0,105131.85,0.39,1,0,1,1,Yes,Phone,38.91,Friend,0,0
62,332,7,Suite,3,Gold,1,1,117092.33,0.51,1,0,1,2,Yes,Phone,54.08,Ad,0,0
35,170,5,Oceanview,2,Silver,1,2,54275.84,0.7,1,1,1,4,Partial,Email,62.62,Social Media,0,0
64,9,5,Balcony,3,None,1,0,81260.29,0.37,1,0,1,2,Yes,Email,65.39,Ad,1,0
70,40,5,Balcony,5,Silver,0,2,57023.13,0.4,1,1,0,0,Partial,Text,41.66,Social Media,0,0
41,25,7,Oceanview,3,None,1,2,80746.43,0.62,1,0,1,3,Partial,Phone,74.37,Search Engine,0,0
43,261,3,Interior,4,None,1,1,103237.21,0.43,1,1,1,3,No,Phone,51.71,Search Engine,0,1
42,226,14,Interior,3,None,1,1,133550.13,0.28,1,1,1,1,Partial,Phone,25.4,Friend,0,0
77,124,10,Oceanview,5,Silver,1,3,71589.04,0.38,1,0,0,7,Yes,Phone,51.78,Ad,0,0
77,38,7,Balcony,4,Silver,1,0,105997.38,0.65,1,1,0,6,Yes,Phone,34.95,Ad,0,0
77,328,5,Oceanview,3,Platinum,0,1,106729.87,0.54,1,0,1,6,Yes,Text,56.14,Search Engine,0,0
62,251,10,Interior,2,Gold,1,1,80466.09,0.27,1,0,0,4,Yes,Text,54.17,Ad,0,0
58,176,10,Oceanview,2,None,1,1,119802.99,0.41,1,1,1,6,Yes,Text,27.15,Social Media,0,0
46,90,10,Suite,3,None,1,1,75168.57,0.77,1,1,0,5,No,Phone,71.57,Search Engine,0,0
32,37,5,Balcony,3,None,1,1,98062.05,0.49,1,0,0,3,Yes,Email,40.32,Friend,0,0
62,316,7,Balcony,3,Silver,0,2,67791.32,0.46,1,1,1,1,No,Email,22.72,Friend,0,0
18,176,3,Balcony,1,Silver,1,2,100945.43,0.5,1,0,1,5,No,Phone,69.21,Search Engine,1,0
42,284,5,Oceanview,1,Platinum,1,4,97936.32,0.53,1,1,0,4,Yes,Text,59.16,Search Engine,1,0
24,81,10,Balcony,3,Silver,1,2,120620.84,0.44,1,0,1,1,No,Email,46.16,Friend,0,0
26,114,10,Interior,2,Gold,0,2,140067.22,0.7,1,1,0,4,No,Email,50.73,Social Media,0,0
41,40,7,Balcony,5,Silver,1,1,112474.77,0.43,1,0,1,1,No,Text,48.25,Ad,0,0
18,301,10,Balcony,4,Gold,0,3,105119.8,0.65,1,1,1,3,Partial,Phone,26.2,Search Engine,0,1
61,224,7,Interior,1,Silver,1,0,73279.55,0.77,1,1,0,5,No,Phone,29.03,Search Engine,0,0
25,318,7,Balcony,5,Silver,1,0,17030.01,0.56,1,0,1,2,No,Phone,64.28,Social Media,0,0
41,349,5,Suite,4,Silver,1,1,123949.09,0.34,1,1,1,7,Yes,Phone,56.19,Friend,0,0
28,115,14,Interior,3,Silver,1,3,140685.51,0.53,1,1,1,5,No,Phone,63.73,Search Engine,0,0
68,186,3,Balcony,2,None,1,1,94389.44,0.42,1,0,1,2,No,Email,68.11,Social Media,0,0
34,323,14,Interior,1,None,1,1,54816.76,0.63,1,0,1,2,No,Text,0.37,Search Engine,0,0
25,56,10,Oceanview,5,None,1,0,126335.88,0.53,1,0,0,6,No,Email,43.88,Social Media,0,0
52,40,3,Oceanview,2,None,0,2,118152.49,0.48,1,0,0,1,No,Email,32.67,Social Media,0,0
52,354,7,Oceanview,3,Silver,1,1,23880.39,0.35,1,0,0,1,No,Email,48.08,Friend,0,1
50,40,10,Suite,5,None,1,1,89212.3,0.22,1,0,0,2,Yes,Text,22.21,Ad,0,0
76,347,7,Balcony,4,None,1,1,92284.06,0.38,1,0,0,2,No,Email,58.96,Friend,0,0
22,237,14,Balcony,2,None,1,3,36867.44,0.6,1,0,0,2,No,Email,59.91,Social Media,0,1
59,289,14,Interior,1,Silver,1,3,52633.97,0.68,1,1,0,1,No,Phone,84.11,Ad,0,0
56,262,7,Suite,2,None,1,1,117746.83,0.45,1,1,1,2,Yes,Text,48.5,Ad,0,0
75,216,5,Interior,4,None,1,2,87092.01,0.36,1,1,1,2,Partial,Phone,60.16,Friend,0,0
58,147,14,Balcony,3,None,1,3,56501.72,0.53,1,0,1,2,Partial,Phone,64.55,Friend,0,0
45,336,7,Oceanview,1,None,1,3,64917.71,0.6,1,0,0,8,No,Email,75.78,Search Engine,0,1
24,168,3,Interior,3,Gold,0,1,48966.61,0.62,1,0,1,2,Yes,Phone,33.03,Ad,0,0
26,92,3,Balcony,4,None,1,1,87262.59,0.53,0,1,1,4,No,Email,63.43,Social Media,0,1
25,353,7,Interior,2,Silver,1,4,107569.11,0.81,1,0,1,3,No,Phone,55.96,Search Engine,0,0
29,59,14,Interior,4,Silver,0,4,120300.18,0.69,1,0,0,6,No,Text,25.74,Search Engine,0,0
51,59,10,Oceanview,2,Platinum,1,2,64960.5,0.32,1,1,0,2,Yes,Text,57.01,Search Engine,0,0
50,304,7,Interior,5,None,1,1,74386.49,0.28,1,0,1,1,No,Phone,61.12,Search Engine,0,0
65,169,3,Interior,5,None,1,4,100034.78,0.33,1,1,0,2,No,Email,24.7,Friend,0,0
72,269,5,Interior,1,None,0,1,113578.23,0.68,1,1,0,3,Partial,Email,48.86,Ad,0,0
40,363,10,Oceanview,1,None,0,2,96123.4,0.24,1,0,1,5,No,Email,51.18,Search Engine,0,0
79,45,5,Interior,4,Silver,0,2,123025.99,0.57,1,1,1,3,Partial,Phone,50.72,Ad,0,0
41,345,5,Balcony,2,None,1,1,139507.17,0.47,1,0,1,5,Partial,Email,59.37,Social Media,0,1
54,181,3,Interior,2,None,1,2,36099.57,0.31,1,1,1,1,No,Phone,41.01,Ad,1,0
52,170,7,Suite,4,Gold,1,2,130570.5,0.54,1,0,0,4,No,Text,33.58,Friend,0,0
61,356,14,Balcony,3,Silver,1,2,123957.07,0.47,1,1,0,2,Yes,Email,57.31,Ad,0,0
57,191,5,Interior,1,None,0,1,49733.44,0.62,1,1,0,3,No,Phone,73.58,Social Media,1,1
39,155,7,Balcony,5,None,1,1,98913.39,0.26,1,0,1,3,Yes,Email,72.48,Social Media,0,0
44,188,7,Balcony,2,None,1,0,104079.22,0.37,1,1,0,2,Yes,Phone,85.85,Search Engine,0,1
52,7,14,Suite,4,Platinum,0,2,52305.52,0.37,0,1,1,3,Partial,Email,44.44,Social Media,0,1
18,133,3,Oceanview,3,Gold,0,3,83167.44,0.6,1,1,1,3,Partial,Text,47.48,Search Engine,0,1
52,235,7,Interior,3,Gold,1,4,89691.96,0.46,1,1,1,3,No,Phone,17.72,Friend,0,0
54,45,5,Balcony,2,Platinum,1,0,52602.07,0.68,1,1,0,8,No,Phone,40.77,Friend,1,0
64,314,10,Balcony,2,Silver,1,1,74832.5,0.44,1,0,0,6,No,Text,26.29,Friend,0,0
31,249,7,Balcony,3,None,1,1,127035.32,0.53,1,1,1,1,No,Text,44.82,Ad,0,0
20,31,3,Oceanview,2,None,1,1,135499.72,0.72,1,1,0,3,Yes,Email,70.43,Social Media,1,1
18,23,7,Balcony,2,Silver,1,1,51892.51,0.23,1,1,1,3,No,Phone,65.97,Social Media,0,1
22,160,10,Suite,1,Gold,0,2,5057.93,0.5,1,1,1,2,No,Phone,45.06,Social Media,0,0
43,363,3,Interior,2,None,1,3,122120.73,0.5,1,0,1,2,Yes,Email,41.38,Search Engine,0,1
72,158,10,Interior,4,Silver,1,5,139672.39,0.38,1,0,1,2,No,Email,37.81,Search Engine,0,0
31,39,5,Interior,4,Platinum,1,4,111302.97,0.48,0,0,0,8,Partial,Phone,62.94,Friend,0,0
56,82,7,Balcony,3,None,1,3,76389.94,0.55,1,0,0,3,Partial,Text,45.3,Social Media,0,0
44,356,7,Balcony,1,Gold,1,2,52488.19,0.39,1,0,1,2,No,Email,53.96,Ad,0,0
26,258,10,Balcony,3,None,0,1,103503.27,0.51,1,1,1,5,Yes,Phone,60.04,Ad,0,1
32,206,5,Oceanview,5,None,0,1,116640.37,0.35,1,0,0,3,No,Email,61.13,Friend,0,1
32,77,10,Oceanview,4,None,1,1,65205.73,0.47,0,0,1,3,Partial,Text,8.22,Search Engine,0,0
43,12,10,Oceanview,1,Silver,0,2,93251.74,0.64,1,0,1,3,No,Phone,58.41,Search Engine,0,1
59,295,7,Oceanview,2,Silver,1,0,71958.68,0.65,1,0,1,1,Partial,Phone,51.49,Search Engine,0,0
77,224,10,Balcony,4,None,1,2,107618.07,0.68,1,0,1,2,Yes,Phone,22.96,Friend,0,0
30,13,10,Suite,3,Gold,1,2,23234.73,0.48,1,1,1,2,No,Text,70.72,Friend,0,1
68,46,3,Suite,2,Silver,0,2,96900.18,0.45,1,0,1,6,Yes,Email,52.97,Social Media,0,0
49,155,5,Suite,4,Silver,1,0,74021.55,0.61,0,0,1,3,No,Text,26.77,Social Media,0,0
56,113,14,Oceanview,3,None,1,0,139962.07,0.68,1,1,1,1,Yes,Text,41.26,Social Media,0,1
66,233,3,Oceanview,2,Gold,0,2,94359.69,0.51,1,0,1,2,No,Text,46.84,Ad,0,0
69,17,10,Balcony,3,None,1,0,106232.24,0.73,1,1,0,2,No,Phone,89.19,Ad,0,0
78,360,14,Suite,2,None,1,0,56705.4,0.61,0,1,0,2,No,Text,36.89,Social Media,0,0
49,223,3,Interior,3,None,1,1,78357.17,0.41,1,0,1,2,Partial,Phone,39.67,Ad,0,0
21,354,7,Oceanview,1,None,1,1,96835.2,0.43,1,0,1,6,No,Phone,52.7,Ad,0,1
47,188,7,Interior,4,Gold,1,0,74217.35,0.49,1,0,1,3,Partial,Email,82.12,Search Engine,0,0
54,344,7,Balcony,4,None,1,0,77732.07,0.26,1,0,1,3,Yes,Email,46.52,Search Engine,1,1
40,163,3,Oceanview,2,None,0,3,92888.89,0.42,1,0,0,5,No,Text,43.3,Friend,0,0
56,326,3,Oceanview,3,Gold,1,0,33602.36,0.67,1,0,1,2,Partial,Phone,52.7,Search Engine,0,0
62,74,7,Interior,3,Silver,1,2,69267.54,0.7,0,0,1,2,No,Phone,45.05,Social Media,0,0
32,233,10,Oceanview,1,Gold,1,1,108663.89,0.54,1,1,1,1,Partial,Email,44.83,Search Engine,0,0
60,224,10,Balcony,5,None,0,0,73190.67,0.57,1,0,1,4,No,Phone,64.44,Ad,0,1
46,319,7,Interior,2,Silver,0,3,155097.17,0.45,1,1,1,2,No,Text,42.54,Ad,0,0
53,60,3,Balcony,5,None,1,2,87722.33,0.4,1,1,0,2,No,Phone,44.73,Social Media,0,0
30,335,7,Balcony,4,Platinum,1,3,29439.24,0.59,1,0,0,2,Partial,Text,65.0,Social Media,0,0
49,222,5,Balcony,5,Silver,0,3,98316.24,0.43,0,0,1,1,Partial,Email,28.56,Search Engine,0,0
24,37,14,Interior,2,Silver,0,2,53322.32,0.75,1,0,0,5,No,Email,44.8,Search Engine,0,1
76,278,10,Suite,2,None,1,1,95199.81,0.56,1,1,1,5,No,Phone,25.03,Search Engine,0,0
68,196,10,Oceanview,3,None,1,3,68028.15,0.57,1,0,1,1,Yes,Phone,42.52,Friend,0,0
39,352,14,Suite,1,None,1,2,70017.28,0.34,0,1,0,0,No,Email,44.74,Friend,0,0
45,242,3,Suite,2,None,1,2,116054.73,0.15,1,1,1,1,Yes,Text,44.99,Social Media,0,0
19,324,10,Interior,5,None,0,1,37495.42,0.57,1,1,0,0,No,Text,44.15,Search Engine,0,1
59,219,5,Interior,2,Silver,1,3,70442.36,0.43,1,0,1,1,Partial,Text,54.21,Ad,0,0
62,192,14,Interior,2,None,1,0,67089.4,0.65,1,0,0,2,No,Email,33.23,Friend,0,1
79,17,5,Oceanview,6,Gold,1,1,125111.17,0.36,1,0,0,3,No,Email,55.85,Social Media,0,1
74,12,10,Interior,4,None,1,1,74532.57,0.42,1,0,1,2,Yes,Email,42.41,Friend,0,0
70,193,10,Interior,5,None,1,0,56752.68,0.67,1,0,0,3,No,Phone,61.37,Search Engine,0,1
23,22,3,Oceanview,5,Gold,1,1,91937.31,0.57,0,1,1,3,No,Email,49.06,Ad,0,0
45,120,5,Interior,3,Silver,1,1,58171.41,0.35,1,1,0,2,No,Text,41.12,Ad,0,0
45,210,10,Interior,3,None,1,3,62518.88,0.51,1,0,1,3,No,Text,30.34,Social Media,0,0
61,306,7,Oceanview,3,None,1,1,105703.55,0.79,0,0,0,4,Yes,Email,54.45,Friend,0,0
61,270,5,Interior,3,Silver,0,2,-982.15,0.52,1,0,0,4,No,Email,47.12,Search Engine,0,1
37,192,5,Oceanview,4,None,0,2,56079.15,0.48,1,1,0,1,Partial,Text,71.94,Search Engine,0,0
47,175,3,Oceanview,2,None,1,1,64696.95,0.63,1,0,0,3,Yes,Email,73.08,Ad,0,1
79,285,10,Oceanview,5,Silver,0,2,131353.81,0.55,1,0,0,5,Partial,Phone,42.71,Ad,0,0
28,204,7,Balcony,3,None,1,1,98359.92,0.72,1,0,1,9,No,Email,14.64,Search Engine,0,0
75,164,3,Oceanview,4,None,1,0,84048.2,0.61,1,1,0,3,No,Text,63.3,Search Engine,0,0
72,251,5,Oceanview,3,Platinum,0,0,81903.94,0.64,1,0,0,4,No,Text,42.02,Friend,0,1
45,227,5,Oceanview,3,Gold,1,3,88704.06,0.72,1,0,0,4,No,Email,44.75,Social Media,1,0
42,7,5,Balcony,2,None,1,2,92368.07,0.46,1,0,0,4,No,Text,67.92,Friend,0,1
56,29,7,Balcony,2,Silver,0,1,88766.07,0.41,1,0,1,1,No,Email,55.21,Friend,0,1
79,33,5,Balcony,2,None,0,4,143397.22,0.3,1,0,1,2,No,Text,62.72,Search Engine,0,0
50,134,5,Balcony,5,Gold,1,0,71823.9,0.47,1,1,0,1,No,Text,65.95,Friend,0,0
18,79,10,Interior,2,Silver,0,2,90231.63,0.3,1,1,1,5,Partial,Text,47.48,Friend,0,0
74,58,5,Interior,3,None,1,2,86139.76,0.55,1,0,1,3,Yes,Email,60.26,Friend,1,0
44,26,7,Interior,2,None,1,2,113178.37,0.41,1,1,0,1,Partial,Email,51.58,Ad,0,1
79,226,7,Suite,3,None,1,2,64203.27,0.64,1,0,1,3,No,Email,58.09,Social Media,1,0
74,285,7,Balcony,4,Silver,1,0,73995.51,0.62,0,1,0,3,Yes,Phone,52.34,Social Media,0,0
69,4,7,Balcony,3,Silver,1,0,39650.39,0.44,1,1,0,4,No,Phone,70.41,Ad,0,0
30,99,7,Oceanview,3,None,1,0,114610.45,0.65,1,0,1,4,Yes,Phone,30.78,Search Engine,0,0
